                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76014,                  2.073,                0.99185,                0.75405,                 5.5132,                0.96901,                0.56771,                0.67604,                0.56785,                0.46573,                0.69193,                 1.4626,                0.90037,                0.70759,                  3.105,                0.89619,             0.00041556,             0.00041556,             0.00041556
                      2,                0.70484,                 1.2008,                0.91607,                 0.7417,                 2.1623,                0.91109,                0.50658,                 0.7134,                0.62163,                 0.5125,                0.66838,                 1.6774,                0.87981,                0.70506,                  2.033,                0.88295,             0.00074983,             0.00074983,             0.00074983
                      3,                0.68352,                0.95369,                0.90394,                0.71936,                 1.1685,                0.90193,                0.73522,                0.73992,                0.76687,                0.64081,                0.65957,                0.84775,                0.87626,                0.67931,                 0.9653,                0.88091,              0.0010016,              0.0010016,              0.0010016
                      4,                0.65848,                0.83992,                0.89819,                0.68975,                0.91132,                0.89527,                0.63855,                0.73887,                0.74831,                0.64024,                0.59292,                0.94303,                0.85809,                0.60337,                0.94677,                0.86157,             0.00087875,             0.00087875,             0.00087875
                      5,                0.64745,                0.78522,                0.89269,                0.67824,                0.80427,                0.88936,                0.72033,                0.78203,                0.81531,                0.69175,                0.60345,                0.77801,                0.85996,                0.61441,                0.78537,                0.86039,             0.00087875,             0.00087875,             0.00087875
                      6,                 0.6317,                0.72117,                0.88994,                0.65589,                0.71984,                0.88571,                0.77272,                0.78682,                0.84335,                0.71751,                0.59242,                0.66457,                0.85667,                 0.6036,                0.65612,                 0.8586,               0.000755,               0.000755,               0.000755
                      7,                0.62498,                0.67809,                0.88371,                0.64694,                0.66599,                0.87639,                0.78222,                0.78779,                0.86356,                0.73781,                 0.5785,                0.64812,                0.85409,                 0.5856,                0.63443,                0.85517,             0.00063125,             0.00063125,             0.00063125
                      8,                0.60616,                0.63793,                0.88287,                0.62149,                0.61882,                0.87721,                0.77837,                0.80157,                0.86342,                0.73787,                 0.5967,                0.66152,                0.85329,                0.58723,                0.66681,                0.85374,              0.0005075,              0.0005075,              0.0005075
                      9,                0.59388,                0.58073,                0.87684,                0.60816,                0.56136,                0.86856,                0.77974,                0.81318,                0.87154,                0.74896,                0.56858,                0.63343,                0.85008,                0.57285,                0.62535,                0.85158,             0.00038375,             0.00038375,             0.00038375
                     10,                0.57847,                0.54911,                0.86806,                0.58975,                 0.5329,                0.85996,                0.80117,                0.80357,                0.87647,                0.75854,                0.55176,                0.61215,                0.84498,                 0.5614,                0.60826,                0.84643,                0.00026,                0.00026,                0.00026
